anio,tipo,num,num_disp,calle1,calle2,y,x,id,num_disp_2,distancia_min_m,id_historico_cercano,anio_historico_cercano,tipo_historico_cercano,calle1_historica,calle2_historica,coincidencia
2024,radar fijo,1,1,Av. Telecomunicaciones,Emilio Azcarraga,19.3887368,-99.0423673,001-SSC-IZP-EV-124.6,NA,0,001-SSC-IZP-EV-124.6,2023,radar fijo,Av. Telecomunicaciones,Emilio Azcárraga,≤10 m
2024,radar fijo,2,2,Camino A Nextengo,Aquiles Elourdy,19.4730521,-99.1890999,002-SSC-AZC-EV-124.14,NA,0,002-SSC-AZC-EV-124.14,2023,radar fijo,Camino A Nextengo,Aquiles Elourdy,≤10 m
2024,radar fijo,3,3,Burdeos,Leija,19.4214147,-99.1736078,003-SSC-CUH-FC-124.22,NA,0,003-SSC-CUH-FC-124.22,2023,radar fijo,Burdeos,Leija,≤10 m
2024,radar fijo,4,4,Cto. Cuemanco Nte,Antiguo Canal De Cuemanco,19.2946796,-99.1021011,004-SSC-XOC-FC-124.30,NA,0,004-SSC-XOC-FC-124.30,2023,radar fijo,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,≤10 m
2024,radar fijo,5,5,Avena,Añil,19.4024604,-99.0977499,005-SSC-IZT-FC-124.38,NA,0,005-SSC-IZT-FC-124.38,2023,radar fijo,Avena,Añil,≤10 m
2024,radar fijo,6,6,Benito Juarez ,Caliz,19.3201172,-99.1382003,006-SSC-COY-EV-124.46,NA,0,006-SSC-COY-EV-124.46,2023,radar fijo,Benito Juárez,Caliz,≤10 m
2024,radar fijo,7,7,Hidalgo ,Tlamanalco,19.3070388,-99.1433099,007-SSC-COY-EV-124.54,NA,0,007-SSC-COY-EV-124.54,2023,radar fijo,Hidalgo ,Tlamanalco,≤10 m
2024,radar fijo,8,8,"Moctezuma Segunda Seccion, Venustiano Carranza",Lic. Juan C. Doria,19.389183,-99.0422815,008-SSC-IZP-EV-124.62,NA,0,008-SSC-IZP-EV-124.62,2023,radar fijo,Gral. Juan Manuel Torre,Lic. Juan C. Doria,≤10 m
2024,radar fijo,9,9,Jose Peon Contreras,Toribio Medina,19.4059829,-99.144651,009-SSC-CUH-EV-124.70,NA,0,009-SSC-CUH-EV-124.70,2023,radar fijo,José Peón Contreras,Toribio Medina,≤10 m
2024,radar fijo,10,10,Debussy,Meyeber,19.4678526,-99.1395186,010-SSC-GAM-EV-124.78,NA,0,010-SSC-GAM-EV-124.78,2023,radar fijo,Debussy,Meyeber,≤10 m
2024,radar fijo,11,11,Ignacio Mariscal,Tomas Alva Edison,19.43651959,-99.1496257,011-SSC-CUH-FC-124.86,NA,0,011-SSC-CUH-FC-124.86,2023,radar fijo,Ignacio Mariscal,Tomás Alva Edison,≤10 m
2024,radar fijo,12,12,Ote. 144,Ote.146,19.4321581,-99.1029554,012-SSC-VCA-FC-124.94,NA,0,012-SSC-VCA-FC-124.94,2023,radar fijo,Ote. 144,Ote. 146,≤10 m
2024,radar fijo,13,13,Ote. 176,Ote. 178,19.4280946,-99.0948085,013-SSC-VCA-EV-124.102,NA,0,013-SSC-VCA-EV-124.102,2023,radar fijo,Ote. 176,Ote. 178,≤10 m
2024,radar fijo,14,14,Rio Guadalupe,Eje 5 Norte,19.4796439,-99.0980104,014-SSC-GAM-FC-124.110,NA,0,014-SSC-GAM-FC-124.110,2023,radar fijo,Río Guadalupe,Eje 5 Norte,≤10 m
2024,radar fijo,15,15,Coca,Av Canal De Apatlaco,19.3801184,-99.095546100000007,015-SSC-IZT-FC-124.118,NA,0,015-SSC-IZT-FC-124.118,2023,radar fijo,Coca,Av. Canal De Apatlaco,≤10 m
2024,radar fijo,16,16,Calzada Taxqueña,Cerro San Antonio,19.3406041,-99.1373936,016-SSC-COY-FC-124.126,NA,0,016-SSC-COY-FC-124.126,2023,radar fijo,Calzada Taxqueña,Cerro San Antonio,≤10 m
2024,radar fijo,17,17,Pensamiento,Pabellón,19.3429176,-99.0575707,017-SSC-IZP-EV-124.134,NA,0,017-SSC-IZP-EV-124.134,2023,radar fijo,Pensamiento,Pabellón,≤10 m
2024,radar fijo,18,18,Prol. División Del Norte,And. Tabachines,19.2659594,-99.1148805,018-SSC-XOC-FC-124.142,NA,0,018-SSC-XOC-FC-124.142,2023,radar fijo,Prol. División Del Norte,And. Tabachines,≤10 m
2024,radar fijo,19,19,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,19.3730611,-99.1074164,019-SSC-IZP-EV-124.150,NA,0,019-SSC-IZP-EV-124.150,2023,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,≤10 m
2024,radar fijo,20,20,Colector 13,Av Ricarte,19.4881075,-99.134014,020-SSC-GAM-FC-124.158,NA,0,020-SSC-GAM-FC-124.158,2023,radar fijo,Colector 13,Av. Ricarte,≤10 m
2024,radar fijo,21,21,Calle C,Calle B,19.4200102,-99.0968845,021-SSC-VCA-FC-124.166,NA,0,021-SSC-VCA-FC-124.166,2023,radar fijo,Calle C,Calle B,≤10 m
2024,radar fijo,22,22,Asistencia Publica,Calle 23,19.4197559,-99.095534,022-SSC-VCA-FC-124.174,NA,0,022-SSC-VCA-FC-124.174,2023,radar fijo,Asistencia Pública,Calle 23,≤10 m
2024,radar fijo,23,23,Calle C,Calle B,19.473573,-99.15952,023-SSC-AZC-FC-124.182,NA,0,023-SSC-AZC-FC-124.182,2023,radar fijo,Calle C,Calle B,≤10 m
