anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2020,2020_483990_2138835,483989.94424220757,2138834.9857656844,1,RVEM009,radar móvil,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,2019,2020,1476.8424260546863,2019_484821_2140056,RVEF018,radar fijo
2020,2020_485362_2136175,485361.62667267147,2136174.8585717916,1,,radar móvil,Calzada De Tlalpan Y ,Calle Elvira Dirección Norte,2019,2020,1036.6637313802034,2019_485311_2137210,RVEF012,radar fijo
2020,2020_482120_2152878,482119.53538082755,2152877.513607224,1,RVEM004,radar móvil,Eje 3 Norte Av. Cuitlahuac Y  ,Calle Piñon Sentido Poniente,2019,2020,993.1408721628824,2019_483065_2153183,,radar móvil
2020,2020_481509_2145758,481508.7829218684,2145757.569784808,1,RVEM010,radar móvil,Eje 3 Sur Av. Baja California Y,Choapan Direccion Poniente,2019,2020,802.1613544045478,2019_482311_2145751,RVEM004,radar móvil
2020,2020_482638_2149909,482638.28820150794,2149909.2727574455,1,RVEM003,radar móvil,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,2019,2020,740.4820100844839,2019_483252_2150323,VVEF001,radar fijo
2020,2020_480032_2138962,480032.4562703695,2138961.7284793,1,RVEM008,radar móvil,Av. Revolución Y ,Calle Rafael Checa,2019,2020,680.9366531294573,2019_479825_2138313,,radar móvil
2020,2020_483154_2149748,483153.53269181866,2149748.3373035477,1,,radar móvil,Av. Ribera De San Cosme Sentido Poniente  ,-,2019,2020,547.9841466773013,2019_483640_2149497,,radar móvil
2020,2020_486414_2151409,486414.07463639276,2151408.7136609536,1,RVEM002,radar móvil,Calzada De Los Misterios Y ,Calle Arrigo Boito Dirección Sur,2019,2020,540.7425667576101,2019_486636_2150915,RVEF019,radar fijo
2020,2020_483655_2149947,483655.46545055846,2149947.0526854345,1,,radar móvil,Av. Revolucion  Sentido Norte ,-,2019,2020,450.6095586786071,2019_483640_2149497,,radar móvil
2020,2020_483252_2149723,483252.1801188704,2149722.7952807476,1,RVEM006,radar móvil,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,2019,2020,449.19314465334577,2019_483640_2149497,,radar móvil
2020,2020_479280_2149332,479279.6852975932,2149331.880051976,1,,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniente,2019,2020,375.80016927106453,2019_479655_2149316,RVEM010,radar móvil
2020,2020_479287_2149337,479287.0396629301,2149337.404308697,1,RVEM007,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,2019,2020,368.72905595593517,2019_479655_2149316,RVEM010,radar móvil
2020,2020_485367_2143347,485367.4071642836,2143347.3398127854,1,RVEM005,radar móvil,Calzada De Tlalpan Y,Calle Elvira Direccion Norte,2019,2020,176.2822284110319,2019_485338_2143174,RVEM011,radar móvil
2022,2022_479002_2140037,479001.96982659993,2140036.663896595,3,RVEF041 | RVEF042 | RVEF043,radar fijo,Periférico 2P Ajusco Entre Etna Y ,"Calz. De Las Águilas, Sentido Norte-Sur",2021,2022,444.6748191922655,2021_478913_2139601,JVEF012,radar fijo
2023,2023_489273_2133437,489272.9238442253,2133436.778496281,1,004-SSC-XOC-FC-124.30,radar fijo,Cto. Cuemanco Nte.,Antiguo Canal De Cuemanco,2022,2023,3448.219921370266,2022_487941_2130256,JFCF008 | JFCF025,radar fijo
2023,2023_479617_2155020,479616.9501869441,2155019.523240142,1,027-SSC-AZC-FC-124.214,radar fijo,Cristóbal Colón,Av. 16 De Septiembre,2022,2023,3294.1065435347427,2022_482120_2152878,RVEM005,radar móvil
2023,2023_490945_2140257,490945.398817397,2140256.8922951436,1,026-SSC-IZP-FC-124.206,radar fijo,José Guadalupe Gómez,Rojo Gómez,2022,2023,2728.2752691377186,2022_489954_2142799,JVEF010,radar fijo
2023,2023_480154_2153182,480154.14502876386,2153181.8866764423,1,002-SSC-AZC-EV-124.14,radar fijo,Camino A Nextengo,Aquiles Elourdy,2022,2023,1988.8192982899334,2022_482120_2152878,RVEM005,radar móvil
2023,2023_489737_2145363,489736.81670430576,2145362.688766255,1,005-SSC-IZT-FC-124.38,radar fijo,Avena,Añil,2022,2023,1934.0022028853325,2022_489838_2147294,VVEF002,radar fijo
