archivo,posicion,variable
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,3,fecha_evento
hechos-de-transito-reportados-por-ssc-base-comparativa.csv,5,mes
nuevo_acumulado_hechos_de_transito_2023_12.csv,1,fecha_evento
nuevo_acumulado_hechos_de_transito_2023_12.csv,4,fecha_captura
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,1,fecha_evento
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,4,fecha_captura
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,1,fecha_evento
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,4,fecha_captura
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,1,fecha_evento
nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,4,fecha_captura
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,1,fecha_evento
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,4,fecha_captura
