id_espacial,n_registros,n_anios,anio_min,anio_max,ids,n_ids,tipos,lon,lat
-99.04239_19.38894,5,5,2019,2023,VVEF035,1,radar fijo,-99.0423924,19.3889366
-99.04916_19.36228,10,5,2019,2023,JFCF009 | JFCF016,2,radar fijo,-99.049156,19.362278
-99.05509_19.39602,5,5,2019,2023,JVEF009,1,radar fijo,-99.0550857,19.3960176
-99.05647_19.3428,5,5,2019,2023,RVEF013,1,radar fijo,-99.0564653,19.3427999
-99.05913_19.37652,5,5,2019,2023,JFCF002,1,radar fijo,-99.059128,19.376515
-99.07748_19.40877,5,5,2019,2023,BFCF009,1,radar fijo,-99.077477,19.408772
-99.08614_19.43757,5,5,2019,2023,JVEF008,1,radar fijo,-99.0861399,19.4375679
-99.09567_19.37929,5,5,2019,2023,JVEF010,1,radar fijo,-99.095667,19.37929
-99.09568_19.37995,5,5,2019,2023,JFCF011,1,radar fijo,-99.095682,19.379954
-99.0968_19.41991,5,5,2019,2023,VVEF002,1,radar fijo,-99.096795,19.419915
-99.11972_19.4056,5,5,2019,2023,VVEF004 | VVEF011,2,radar fijo,-99.1197212,19.4056047
-99.12475_19.45209,20,5,2019,2023,BFCF022 | BFCF023 | BFCF024 | BFCF025,4,radar fijo,-99.124752,19.452092
-99.12494_19.46847,19,5,2019,2023,BFCF014 | BFCF029 | BFCF033 | BFCF034,4,radar fijo,-99.124941,19.468471
-99.12993_19.37712,8,5,2019,2023,JFCF006 | JFCF014,2,radar fijo,-99.129933,19.377115
-99.13117_19.42357,8,5,2019,2023,BFCF004 | BFCF035,2,radar fijo,-99.131166,19.423568
-99.13292_19.42592,9,5,2019,2023,BFCF030 | BFCF031,2,radar fijo,-99.132917,19.425918
-99.13357_19.49119,10,5,2019,2023,BFCF010 | BFCF011,2,radar fijo,-99.133574,19.491188
-99.13398_19.48218,5,5,2019,2023,VVEF007,1,radar fijo,-99.133978,19.482184
-99.13398_19.48828,5,5,2019,2023,RVEF030,1,radar fijo,-99.133981,19.488276
-99.13703_19.44592,5,5,2019,2023,RVEF016,1,radar fijo,-99.137033,19.445922
-99.13737_19.34113,5,5,2019,2023,JFCF012,1,radar fijo,-99.137371,19.341127
-99.13739_19.34097,5,5,2019,2023,JFCF013,1,radar fijo,-99.137389,19.340973
-99.1384_19.44956,9,5,2019,2023,JFCF007 | JFCF015,2,radar fijo,-99.138399,19.449558
-99.1391_19.44391,5,5,2019,2023,BFCF019,1,radar fijo,-99.139101,19.443908
-99.13984_19.32876,5,5,2019,2023,RVEF012,1,radar fijo,-99.1398364,19.3287573
-99.14115_19.40735,5,5,2019,2023,VVEF005,1,radar fijo,-99.1411463,19.4073524
-99.14187_19.42658,5,5,2019,2023,JFCF022,1,radar fijo,-99.141868,19.426584
-99.14407_19.44478,5,5,2019,2023,VVEF008,1,radar fijo,-99.1440693,19.4447801
-99.14473_19.46981,5,5,2019,2023,RVEF034,1,radar fijo,-99.1447284,19.4698112
-99.14505_19.45625,5,5,2019,2023,JFCF010,1,radar fijo,-99.145048,19.456251
-99.14636_19.45655,5,5,2019,2023,VVEF006,1,radar fijo,-99.1463572,19.4565453
-99.14943_19.40686,14,5,2019,2023,BCFC003 | BFCF003 | BFCF017 | BFCF018,4,radar fijo,-99.149428,19.406861
-99.14_19.44414,14,5,2019,2023,BFCF005 | BFCF006 | BFCF016,3,radar fijo,-99.140003,19.444137
-99.15026_19.49435,5,5,2019,2023,RVEF008,1,radar fijo,-99.1502647,19.4943507
-99.15955_19.44724,5,5,2019,2023,VVEF001 | VVEF001 ,2,radar fijo,-99.159553,19.447244
-99.16075_19.51192,5,5,2019,2023,RVEF023,1,radar fijo,-99.160748,19.511921
-99.18013_19.34687,14,5,2019,2023,BFBF008 | BFCF007 | BFCF008 | BFCF021,4,radar fijo,-99.180131,19.346874
-99.18242_19.44815,9,5,2019,2023,JFCF027 | JFCF035,2,radar fijo,-99.182418,19.448148
-99.1842_19.40796,9,5,2019,2023,BCFC002 | BFCF001 | BFCF002,3,radar fijo,-99.184197,19.407957
-99.18911_19.36328,5,5,2019,2023,JFCF028,1,radar fijo,-99.189106,19.363279
-99.19322_19.35939,5,5,2019,2023,JVEF013,1,radar fijo,-99.1932155,19.3593912
-99.19384_19.35941,5,5,2019,2023,JVEF014 | JVEF014 ,2,radar fijo,-99.193844,19.359411
-99.20078_19.35031,6,5,2019,2023,JVEF012 | RVEF044,2,radar fijo,-99.200777,19.350306
-99.20273_19.34316,5,5,2019,2023,JVEF011,1,radar fijo,-99.2027342,19.3431643
-99.01535_19.35214,4,4,2019,2022,JFCF003,1,radar fijo,-99.015352,19.352139
-99.07558_19.31872,4,4,2019,2022,JFCF001,1,radar fijo,-99.075577,19.318721
-99.09587_19.41993,4,4,2019,2022,RVEF011,1,radar fijo,-99.095867,19.419933
-99.09782_19.47863,4,4,2019,2022,JFCF020,1,radar fijo,-99.097819,19.478628
-99.11476_19.26593,8,4,2019,2022,JFCF008 | JFCF025,2,radar fijo,-99.114759,19.265928
-99.12944_19.45708,4,4,2020,2023,RVEM002,1,radar móvil,-99.12944,19.45708
-99.12949_19.3814,4,4,2019,2022,JFCF026,1,radar fijo,-99.129493,19.381404
-99.1323_19.43099,4,4,2019,2022,JFCF021,1,radar fijo,-99.132297,19.430987
-99.13825_19.45557,4,4,2020,2023,RVEM001,1,radar móvil,-99.13825,19.45557
-99.13826_19.45472,4,4,2019,2022,JFCF029,1,radar fijo,-99.138265,19.454718
-99.13935_19.3194,4,4,2020,2023,,0,radar móvil,-99.13935,19.3194
-99.13935_19.38422,4,4,2020,2023,RVEM005 | RVEM007,2,radar móvil,-99.13935,19.38422
-99.14069_19.43592,4,4,2019,2022,RVEF007,1,radar fijo,-99.1406917,19.4359178
-99.1432_19.48667,4,4,2019,2022,VVEF033,1,radar fijo,-99.143201,19.486666
-99.14464_19.40712,4,4,2019,2022,RVEF021,1,radar fijo,-99.144644,19.40712
-99.15173_19.50841,4,4,2019,2022,VVEF003,1,radar fijo,-99.151726,19.5084073
-99.15243_19.34343,4,4,2020,2023,RVEM009 | RVEM012,2,radar móvil,-99.15243,19.34343
-99.15563_19.42533,4,4,2019,2023,RVEF017 | VVEF012 ,2,radar fijo,-99.1556279,19.4253317
-99.15571_19.44385,4,4,2020,2023,,0,radar móvil,-99.15571,19.44385
-99.1557_19.44038,4,4,2020,2023,,0,radar móvil,-99.1557,19.44038
-99.15889_19.47367,4,4,2019,2022,VVEF031,1,radar fijo,-99.15889,19.473673
-99.15955_19.44182,4,4,2020,2023,RVEM006 | RVEM008,2,radar móvil,-99.15955,19.44182
-99.16049_19.44205,4,4,2020,2023,,0,radar móvil,-99.16049,19.44205
-99.1654_19.4435,4,4,2020,2023,RVEM003 | RVEM004,2,radar móvil,-99.1654,19.4435
-99.17037_19.47032,4,4,2020,2023,RVEM004 | RVEM005,2,radar móvil,-99.17037,19.47032
-99.17042_19.34554,4,4,2020,2023,RVEM012,1,radar móvil,-99.17042,19.34554
-99.17042_19.34555,4,4,2020,2023,RVEM011,1,radar móvil,-99.17042,19.34555
-99.17043_19.34556,4,4,2020,2023,,0,radar móvil,-99.17043,19.34556
-99.17393_19.42132,4,4,2019,2022,BFCF026,1,radar fijo,-99.173931,19.421324
-99.17473_19.42996,4,4,2019,2022,JFCF018,1,radar fijo,-99.174731,19.429957
-99.1754_19.42358,4,4,2019,2022,VVEF032,1,radar fijo,-99.175399,19.423585
-99.17612_19.40597,4,4,2020,2023,RVEM010,1,radar móvil,-99.17612,19.40597
-99.18069_19.34661,4,4,2019,2022,JFCF024,1,radar fijo,-99.180692,19.346607
-99.18557_19.45202,4,4,2019,2022,RVEF002,1,radar fijo,-99.1855748,19.4520233
-99.19011_19.34454,4,4,2020,2023,RVEM008 | RVEM011,2,radar móvil,-99.19011,19.34454
-99.19732_19.4383,4,4,2020,2023,RVEM007 | RVEM010,2,radar móvil,-99.19732,19.4383
-99.19739_19.43825,4,4,2020,2023,,0,radar móvil,-99.19739,19.43825
-99.21352_19.43895,4,4,2019,2022,JFCF023,1,radar fijo,-99.213515,19.438951
-99.1019_19.42273,3,3,2019,2021,RVEF040,1,radar fijo,-99.101904,19.422735
-99.11849_19.42152,3,3,2019,2021,RVEF003,1,radar fijo,-99.1184883,19.4215211
-99.12733_19.45262,3,3,2019,2021,RVEF019,1,radar fijo,-99.1273266,19.4526233
-99.14453_19.35447,3,3,2019,2021,RVEF018,1,radar fijo,-99.1445281,19.3544699
-99.1898_19.41302,3,3,2019,2021,RVEF001,1,radar fijo,-99.189798,19.413017
-99.19441_19.48968,3,3,2019,2021,RVEF014,1,radar fijo,-99.194411,19.489679
-99.04228_19.38918,2,2,2023,2024,008-SSC-IZP-EV-124.62,1,radar fijo,-99.0422815,19.389183
-99.04237_19.38874,2,2,2023,2024,001-SSC-IZP-EV-124.6,1,radar fijo,-99.0423673,19.3887368
-99.05671_19.34291,2,2,2023,2024,040-SSC-IZP-EV-119.62,1,radar fijo,-99.0567057,19.3429138
-99.05757_19.34292,2,2,2023,2024,017-SSC-IZP-EV-124.134,1,radar fijo,-99.0575707,19.3429176
-99.08621_19.35632,2,2,2023,2024,026-SSC-IZP-FC-124.206,1,radar fijo,-99.0862147,19.3563236
-99.09481_19.42809,2,2,2023,2024,013-SSC-VCA-EV-124.102,1,radar fijo,-99.0948085,19.4280946
-99.09553_19.41976,2,2,2023,2024,022-SSC-VCA-FC-124.174,1,radar fijo,-99.095534,19.4197559
-99.09555_19.38012,2,2,2023,2024,015-SSC-IZT-FC-124.118,1,radar fijo,-99.095546100000007,19.3801184
-99.09688_19.42001,2,2,2023,2024,021-SSC-VCA-FC-124.166,1,radar fijo,-99.0968845,19.4200102
-99.09775_19.40246,2,2,2023,2024,005-SSC-IZT-FC-124.38,1,radar fijo,-99.0977499,19.4024604
-99.09788_19.47843,2,2,2023,2024,025-SSC-GAM-FC-124.198,1,radar fijo,-99.0978776,19.4784257
-99.09801_19.47964,2,2,2023,2024,014-SSC-GAM-FC-124.110,1,radar fijo,-99.0980104,19.4796439
-99.1021_19.29468,2,2,2023,2024,004-SSC-XOC-FC-124.30,1,radar fijo,-99.1021011,19.2946796
-99.10296_19.43216,2,2,2023,2024,012-SSC-VCA-FC-124.94,1,radar fijo,-99.1029554,19.4321581
-99.10742_19.37306,2,2,2023,2024,019-SSC-IZP-EV-124.150,1,radar fijo,-99.1074164,19.3730611
-99.11488_19.26596,2,2,2023,2024,018-SSC-XOC-FC-124.142,1,radar fijo,-99.1148805,19.2659594
-99.11806_19.42156,2,2,2023,2024,030-SSC-VCA-EV-124.238,1,radar fijo,-99.1180633,19.4215583
-99.13283_19.4766,2,2,2023,2024,035-SSC-GAM-EV-119.22,1,radar fijo,-99.1328328,19.4765952
-99.13401_19.48811,2,2,2023,2024,020-SSC-GAM-FC-124.158,1,radar fijo,-99.134014,19.4881075
-99.13739_19.3406,2,2,2023,2024,016-SSC-COY-FC-124.126,1,radar fijo,-99.1373936,19.3406041
-99.13786_19.45452,2,2,2023,2024,024-SSC-CUH-FC-124.190,1,radar fijo,-99.1378576,19.4545243
-99.1382_19.32012,2,2,2023,2024,006-SSC-COY-EV-124.46,1,radar fijo,-99.1382003,19.3201172
-99.13952_19.46785,2,2,2023,2024,010-SSC-GAM-EV-124.78,1,radar fijo,-99.1395186,19.4678526
-99.1418_19.40727,2,2,2023,2024,032-SSC-CUH-EV-124.254,1,radar fijo,-99.1418025,19.4072699
-99.14331_19.30704,2,2,2023,2024,007-SSC-COY-EV-124.54,1,radar fijo,-99.1433099,19.3070388
-99.14339_19.48687,2,2,2023,2024,033-SSC-GAM-EV-119.6,1,radar fijo,-99.1433887,19.4868701
-99.14465_19.40598,2,2,2023,2024,009-SSC-CUH-EV-124.70,1,radar fijo,-99.144651,19.4059829
-99.14963_19.43652,2,2,2023,2024,011-SSC-CUH-FC-124.86,1,radar fijo,-99.1496257,19.43651959
-99.15043_19.49447,2,2,2023,2024,034-SSC-GAM-EV-119.14,1,radar fijo,-99.1504302,19.4944705
-99.1517_19.50792,2,2,2023,2024,029-SSC-GAM-FC-124.230,1,radar fijo,-99.1517019,19.5079152
-99.15952_19.47357,2,2,2023,2024,023-SSC-AZC-FC-124.182,1,radar fijo,-99.15952,19.473573
-99.17361_19.42141,2,2,2023,2024,003-SSC-CUH-FC-124.22,1,radar fijo,-99.1736078,19.4214147
-99.18426_19.4083,2,2,2023,2024,031-SSC-MIH-FC-124.246,1,radar fijo,-99.1842578,19.408298
-99.1891_19.47305,2,2,2023,2024,002-SSC-AZC-EV-124.14,1,radar fijo,-99.1890999,19.4730521
-99.19363_19.35915,2,2,2023,2024,038-SSC-AOB-EV-119.46,1,radar fijo,-99.1936347,19.3591454
-99.19371_19.35921,2,2,2023,2024,036-SSC-AOB-EV-119.30,1,radar fijo,-99.1937067,19.3592101
-99.19424_19.48965,2,2,2023,2024,027-SSC-AZC-FC-124.214,1,radar fijo,-99.1942383,19.4896537
-99.20101_19.35009,2,2,2023,2024,039-SSC-AOB-EV-119.54,1,radar fijo,-99.2010128,19.3500941
-99.20113_19.35022,2,2,2023,2024,037-SSC-AOB-EV-119.38,1,radar fijo,-99.2011302,19.3502218
-99.21354_19.43898,2,2,2023,2024,028-SSC-MIH-FC-124.222,1,radar fijo,-99.2135412,19.4389827
-99.02095_19.34538,1,1,2019,2019,RVEM008,1,radar móvil,-99.02095196,19.34538085
-99.04067_19.3433,1,1,2019,2019,RVEM007,1,radar móvil,-99.04066523,19.34330237
-99.04935_19.36222,1,1,2024,2024,054-SSC-IZP-FC-119.174,1,radar fijo,-99.049351,19.362216
-99.05883_19.37646,1,1,2024,2024,061-SSC-IZP-FC-119.230,1,radar fijo,-99.058833,19.376464
-99.07545_19.45369,1,1,2024,2024,068-SSC-GAM-EV-143.158,1,radar fijo,-99.075447,19.453688
-99.09449_19.29762,1,1,2024,2024,076-SSC-XOC-EV-143.218,1,radar fijo,-99.0944934,19.2976212
-99.09617_19.45104,1,1,2024,2024,063-SSC-VCA-EV-119.246,1,radar fijo,-99.096166,19.451044
-99.09777_19.41273,1,1,2019,2019,,0,radar móvil,-99.09777259,19.41272707
-99.097_19.43926,1,1,2024,2024,070-SSC-VCA-EV-143.174,1,radar fijo,-99.0970018,19.4392591
-99.10172_19.37558,1,1,2024,2024,079-SSC-IZT-EV-143.246,1,radar fijo,-99.101718,19.375578
-99.11295_19.37008,1,1,2024,2024,060-SSC-IZT-VE-143.166,1,radar fijo,-99.11295,19.370079
-99.11354_19.36971,1,1,2024,2024,059-SSC-ITZ-VE-119.214,1,radar fijo,-99.1135417,19.3697071
-99.11457_19.45617,1,1,2024,2024,069-SSC-GAM-EV-143.166,1,radar fijo,-99.1145699,19.4561654
-99.118_19.46588,1,1,2019,2019,,0,radar móvil,-99.11799625,19.46587838
-99.12045_19.4805,1,1,2019,2019,,0,radar móvil,-99.12044598,19.48050419
-99.12308_19.44267,1,1,2019,2019,,0,radar móvil,-99.12308368,19.44266897
-99.12367_19.28565,1,1,2024,2024,056-SSC-XOC-VE-119.190,1,radar fijo,-99.123666,19.285648
-99.12383_19.46794,1,1,2019,2019,,0,radar móvil,-99.12382632,19.46793879
-99.12422_19.28558,1,1,2024,2024,075-SSC-XOC-EV-143.211,1,radar fijo,-99.1242186,19.2855784
-99.12472_19.45242,1,1,2024,2024,048-SSC-VCA-FC-119.126,1,radar fijo,-99.1247242,19.4524216
-99.12493_19.46865,1,1,2024,2024,049-SSC-GAM-FC-119.134,1,radar fijo,-99.1249302,19.4686543
-99.12756_19.40904,1,1,2019,2019,RVEM003,1,radar móvil,-99.12756371,19.4090391
-99.128_19.4529,1,1,2024,2024,078-SSC-CUH-EV-143.232,1,radar fijo,-99.1279974,19.4528992
-99.12951_19.4565,1,1,2024,2024,077-SSC-CUH-EV-143.225,1,radar fijo,-99.1295139,19.4565017
-99.12962_19.38178,1,1,2024,2024,057-SSC-IZT-FC-119.198,1,radar fijo,-99.129616,19.381776
-99.1298_19.48945,1,1,2024,2024,065-SSC-GAM-EV-143.134,1,radar fijo,-99.1298036,19.4894549
-99.13004_19.37712,1,1,2024,2024,053-SSC-IZT-FC-119.166,1,radar fijo,-99.130041,19.377117
-99.13145_19.42357,1,1,2024,2024,041-SSC-CUH-FC-119.70,1,radar fijo,-99.1314475,19.4235698
-99.13341_19.49109,1,1,2024,2024,044-SSC-GAM-FC-119.94,1,radar fijo,-99.1334139,19.491094
-99.13652_19.40364,1,1,2019,2019,RVEM012,1,radar móvil,-99.13651924,19.40364022
-99.13669_19.40282,1,1,2019,2019,,0,radar móvil,-99.13669481,19.40281915
-99.13692_19.34111,1,1,2024,2024,052-SSC-COY-FC-119.158,1,radar fijo,-99.136915,19.341108
-99.13923_19.44475,1,1,2019,2019,RVEM002,1,radar móvil,-99.139229,19.44475278
-99.13944_19.44426,1,1,2024,2024,042-SSC-CUH-FC-119.78,1,radar fijo,-99.1394375,19.4442594
-99.13963_19.38265,1,1,2019,2019,RVEM011,1,radar móvil,-99.13962792,19.38264887
-99.14041_19.44413,1,1,2024,2024,045-SSC-CUH-FC-119.102,1,radar fijo,-99.1404099,19.4441318
-99.14194_19.42648,1,1,2024,2024,058-SSC-CUH-FC-119.206,1,radar fijo,-99.1419395,19.4264773
-99.14422_19.44478,1,1,2024,2024,073-SSC-CUH-EV-143.198,1,radar fijo,-99.1442176,19.444778
-99.14501_19.40393,1,1,2019,2019,,0,radar móvil,-99.14500651,19.40393467
-99.14613_19.45657,1,1,2024,2024,066-SSC-CUH-EV-143.142,1,radar fijo,-99.1461344,19.4565683
-99.14615_19.42717,1,1,2019,2019,,0,radar móvil,-99.14614616,19.42717175
-99.1485_19.45712,1,1,2019,2019,RVEM005,1,radar móvil,-99.14849566,19.45711779
-99.14922_19.43798,1,1,2019,2019,,0,radar móvil,-99.14922168,19.43797642
-99.14923_19.40699,1,1,2024,2024,046-SSC-CUH-FC-119.110,1,radar fijo,-99.149233,19.406994
-99.15318_19.44591,1,1,2024,2024,047-SSC-CUH-FC-119.118,1,radar fijo,-99.153179,19.445911
-99.15362_19.44648,1,1,2024,2024,043-SSC-CUH-FC-119.86,1,radar fijo,-99.15362,19.44648
